epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1330.13,0.65241,1.08938,0.9479,0.99832,0.99915,0.99486,0.9678,0.23291,0.25985,0.89609,0.00333284,0.00333284,0.00333284
2,2665.69,0.43736,0.3906,0.84969,0.99852,0.9989,0.99496,0.98116,0.17998,0.18324,0.8891,0.00660018,0.00660018,0.00660018
3,4010.42,0.39892,0.3322,0.8449,0.99916,0.99944,0.99494,0.98797,0.15986,0.15059,0.88224,0.00980152,0.00980152,0.00980152
4,5368.53,0.34266,0.27328,0.83596,0.99917,0.9995,0.99496,0.99167,0.13007,0.1198,0.8763,0.009703,0.009703,0.009703
5,6710.46,0.29515,0.23193,0.82854,0.99905,0.9996,0.99496,0.99305,0.11996,0.10655,0.87284,0.009604,0.009604,0.009604
6,8030.76,0.27109,0.2111,0.82426,0.99927,0.99938,0.99496,0.99353,0.10345,0.09416,0.87059,0.009505,0.009505,0.009505
7,9340.98,0.25514,0.19851,0.82187,0.99918,0.99959,0.99498,0.99373,0.09708,0.08807,0.86835,0.009406,0.009406,0.009406
8,10668.6,0.24389,0.18959,0.82028,0.99919,0.99961,0.99497,0.99407,0.09338,0.08503,0.86769,0.009307,0.009307,0.009307
9,12014.4,0.23437,0.1828,0.81812,0.99919,0.99967,0.99497,0.9941,0.09037,0.08452,0.86619,0.009208,0.009208,0.009208
10,13316.6,0.2282,0.17852,0.81745,0.99922,0.9996,0.99497,0.99406,0.08642,0.07913,0.86521,0.009109,0.009109,0.009109
11,14631,0.22223,0.17477,0.81637,0.99927,0.99967,0.99498,0.99402,0.08211,0.07692,0.86477,0.00901,0.00901,0.00901
12,15950.5,0.21674,0.16972,0.8153,0.99932,0.99962,0.99498,0.99396,0.07988,0.0734,0.86432,0.008911,0.008911,0.008911
13,17264.2,0.21333,0.16849,0.81481,0.99934,0.99966,0.99498,0.994,0.07855,0.07266,0.86358,0.008812,0.008812,0.008812
14,18567.2,0.21015,0.1653,0.81458,0.99931,0.99967,0.99498,0.99404,0.07734,0.07162,0.86327,0.008713,0.008713,0.008713
15,19871,0.20709,0.16471,0.81382,0.99933,0.99966,0.99498,0.99409,0.07663,0.07124,0.86282,0.008614,0.008614,0.008614
16,21170.8,0.20335,0.1609,0.81298,0.99937,0.99964,0.99498,0.99409,0.07595,0.07009,0.86265,0.008515,0.008515,0.008515
17,22486.2,0.20051,0.15912,0.81287,0.99935,0.99968,0.99498,0.99412,0.07505,0.06948,0.86233,0.008416,0.008416,0.008416
18,23795.6,0.19826,0.15753,0.81234,0.99932,0.99969,0.99498,0.99415,0.07449,0.06876,0.86213,0.008317,0.008317,0.008317
19,25101.9,0.19638,0.15679,0.81193,0.99931,0.99971,0.99498,0.99416,0.07404,0.06824,0.86191,0.008218,0.008218,0.008218
20,26406,0.19568,0.15531,0.81225,0.99934,0.99967,0.99498,0.99418,0.07391,0.06803,0.86178,0.008119,0.008119,0.008119
21,27733.7,0.1931,0.15412,0.81156,0.99929,0.99971,0.99498,0.99418,0.07337,0.06758,0.86161,0.00802,0.00802,0.00802
22,29058.7,0.19188,0.15294,0.81143,0.9993,0.99972,0.99498,0.99418,0.07284,0.06721,0.86148,0.007921,0.007921,0.007921
23,30370.9,0.18998,0.1515,0.81126,0.99931,0.99973,0.99498,0.99419,0.07259,0.06739,0.86136,0.007822,0.007822,0.007822
24,31680.4,0.18924,0.15145,0.81108,0.99929,0.99976,0.99498,0.9942,0.0725,0.06783,0.86121,0.007723,0.007723,0.007723
25,32991,0.18729,0.15028,0.81059,0.99938,0.99968,0.99498,0.99421,0.07237,0.06776,0.86111,0.007624,0.007624,0.007624
26,34313.8,0.18552,0.14884,0.81034,0.9994,0.99966,0.99498,0.99422,0.07253,0.06755,0.86101,0.007525,0.007525,0.007525
27,35635.3,0.18468,0.14819,0.81075,0.99939,0.99968,0.99498,0.99423,0.07265,0.06791,0.8609,0.007426,0.007426,0.007426
28,36952.4,0.1849,0.14795,0.81013,0.99938,0.99968,0.99498,0.99425,0.07258,0.06806,0.86078,0.007327,0.007327,0.007327
29,38310.1,0.18342,0.1479,0.81022,0.99939,0.9997,0.99498,0.99428,0.0725,0.06838,0.86071,0.007228,0.007228,0.007228
30,39658.7,0.18266,0.147,0.81007,0.99939,0.99972,0.99498,0.99428,0.07248,0.06884,0.86062,0.007129,0.007129,0.007129
31,40997.1,0.18199,0.14747,0.8102,0.99939,0.99973,0.99498,0.9943,0.07249,0.06951,0.86054,0.00703,0.00703,0.00703
32,42351.4,0.17981,0.14463,0.80947,0.99942,0.99972,0.99498,0.99431,0.07224,0.06976,0.86046,0.006931,0.006931,0.006931
33,43704.3,0.17884,0.14358,0.80953,0.99942,0.99973,0.99498,0.99433,0.07214,0.07032,0.86036,0.006832,0.006832,0.006832
34,45116.3,0.17756,0.14279,0.8097,0.99937,0.99978,0.99498,0.99435,0.07185,0.07026,0.86024,0.006733,0.006733,0.006733
