epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1088.24,0.66633,1.10707,0.95474,0.99804,0.99887,0.99491,0.96419,0.24426,0.24322,0.87414,0.00333257,0.00333257,0.00333257
2,2127.46,0.42905,0.39137,0.84881,0.99859,0.99917,0.99496,0.98322,0.18342,0.17392,0.86656,0.00659991,0.00659991,0.00659991
3,3178.81,0.38141,0.32012,0.84091,0.99913,0.99949,0.99497,0.99024,0.14558,0.14087,0.86567,0.00980125,0.00980125,0.00980125
4,4234.82,0.32477,0.25653,0.832,0.99923,0.99943,0.99499,0.99293,0.11655,0.10871,0.85906,0.009703,0.009703,0.009703
5,5286.13,0.27998,0.21985,0.82416,0.99933,0.99952,0.995,0.99397,0.10114,0.0939,0.85531,0.009604,0.009604,0.009604
6,6336.31,0.25614,0.20086,0.81959,0.99949,0.99959,0.995,0.99434,0.09181,0.08503,0.85339,0.009505,0.009505,0.009505
7,7383.87,0.24125,0.18976,0.81713,0.99945,0.99956,0.995,0.99447,0.08748,0.08407,0.85261,0.009406,0.009406,0.009406
8,8435.2,0.23086,0.18252,0.816,0.99939,0.99965,0.995,0.99456,0.08204,0.07541,0.85155,0.009307,0.009307,0.009307
9,9484.33,0.22271,0.17669,0.81409,0.99946,0.99968,0.995,0.9946,0.07895,0.07255,0.85077,0.009208,0.009208,0.009208
10,10526.1,0.21614,0.17191,0.81297,0.9995,0.99966,0.995,0.99466,0.07653,0.07026,0.85015,0.009109,0.009109,0.009109
11,11562.9,0.21073,0.16746,0.8115,0.99951,0.99968,0.995,0.99471,0.07547,0.06937,0.84965,0.00901,0.00901,0.00901
12,12604.6,0.20644,0.1649,0.8105,0.99953,0.99968,0.995,0.99475,0.07417,0.06785,0.84921,0.008911,0.008911,0.008911
13,13642.4,0.20345,0.1624,0.8106,0.99946,0.99976,0.995,0.99478,0.07296,0.06641,0.84899,0.008812,0.008812,0.008812
14,14677.9,0.19996,0.16024,0.8099,0.9996,0.99968,0.995,0.99479,0.07209,0.06568,0.84884,0.008713,0.008713,0.008713
15,15723,0.198,0.15877,0.80915,0.99961,0.99969,0.995,0.9948,0.07148,0.06516,0.84874,0.008614,0.008614,0.008614
16,16769.2,0.19585,0.15695,0.80956,0.99957,0.99976,0.995,0.99481,0.07106,0.0645,0.84871,0.008515,0.008515,0.008515
17,17812.3,0.19264,0.15519,0.80838,0.9996,0.99976,0.995,0.99481,0.07071,0.06399,0.84856,0.008416,0.008416,0.008416
18,18852.2,0.19123,0.15326,0.8084,0.9996,0.99976,0.995,0.99482,0.07034,0.06394,0.84844,0.008317,0.008317,0.008317
19,19899.5,0.18911,0.15176,0.80774,0.99961,0.99978,0.995,0.99484,0.07001,0.06343,0.84834,0.008218,0.008218,0.008218
20,20946.2,0.18789,0.15183,0.80782,0.99963,0.99977,0.995,0.99484,0.06993,0.06332,0.84832,0.008119,0.008119,0.008119
21,21999.6,0.18546,0.14911,0.80762,0.99963,0.99977,0.995,0.99485,0.06972,0.06266,0.84821,0.00802,0.00802,0.00802
22,23044.4,0.18538,0.14912,0.80811,0.99966,0.99978,0.995,0.99486,0.06958,0.06207,0.84809,0.007921,0.007921,0.007921
23,24081.8,0.18403,0.14771,0.80759,0.99965,0.9998,0.995,0.99486,0.06958,0.06237,0.84804,0.007822,0.007822,0.007822
24,25134.8,0.18304,0.14759,0.80686,0.99964,0.9998,0.995,0.99487,0.06943,0.06297,0.84788,0.007723,0.007723,0.007723
25,26188.4,0.18049,0.14581,0.80634,0.99967,0.99979,0.995,0.99487,0.06912,0.06209,0.84786,0.007624,0.007624,0.007624
26,27248.4,0.18083,0.14654,0.80665,0.99966,0.99977,0.995,0.99487,0.06871,0.06179,0.84783,0.007525,0.007525,0.007525
27,28299.4,0.17794,0.14379,0.80612,0.99968,0.99975,0.995,0.99488,0.06848,0.06196,0.84775,0.007426,0.007426,0.007426
28,29357.6,0.17755,0.14336,0.80622,0.99966,0.99975,0.995,0.99489,0.06841,0.06184,0.84767,0.007327,0.007327,0.007327
29,30409.3,0.17679,0.14268,0.80627,0.99966,0.99976,0.995,0.99489,0.06813,0.06121,0.84768,0.007228,0.007228,0.007228
30,31455.5,0.176,0.14173,0.80609,0.99968,0.99977,0.995,0.9949,0.06776,0.06067,0.84761,0.007129,0.007129,0.007129
31,32496.2,0.17494,0.14212,0.80561,0.99969,0.99979,0.995,0.9949,0.06761,0.06052,0.84753,0.00703,0.00703,0.00703
32,33536.8,0.1749,0.14112,0.8061,0.99966,0.9998,0.995,0.99491,0.06732,0.06014,0.84741,0.006931,0.006931,0.006931
33,34577.9,0.1739,0.14062,0.8056,0.9997,0.9998,0.995,0.99492,0.06705,0.05963,0.84734,0.006832,0.006832,0.006832
34,35619.3,0.1726,0.13964,0.80504,0.99969,0.99981,0.995,0.99492,0.06691,0.05943,0.84736,0.006733,0.006733,0.006733
35,36664.2,0.17215,0.13938,0.8054,0.99968,0.99982,0.995,0.99492,0.06673,0.05924,0.84731,0.006634,0.006634,0.006634
36,37700.5,0.17127,0.1378,0.80466,0.99965,0.99983,0.995,0.99492,0.06665,0.05903,0.84723,0.006535,0.006535,0.006535
37,38734.9,0.17031,0.13755,0.80516,0.99963,0.99982,0.995,0.99493,0.06662,0.05891,0.84716,0.006436,0.006436,0.006436
38,39781.8,0.17009,0.13837,0.80468,0.99967,0.99978,0.995,0.99493,0.06591,0.05838,0.84704,0.006337,0.006337,0.006337
39,40829,0.16825,0.13652,0.80507,0.99967,0.9998,0.995,0.99493,0.06549,0.05778,0.84697,0.006238,0.006238,0.006238
40,41868.8,0.16793,0.13518,0.80459,0.99967,0.99981,0.995,0.99493,0.06498,0.05717,0.84687,0.006139,0.006139,0.006139
